"TQId","CPUTime","OwnerGroup","Priority","Enabled","n_jobs"
"62911272","1080000","lhcb_data","73732.7","1","755"
"64950365","1080000","lhcb_data","16129.0","1","755"
"64947285","172800","lhcb_mc","48.0283","1","700"
"62911257","1080000","lhcb_data","73732.7","1","655"
"62911274","1080000","lhcb_data","73732.7","1","644"
"64947159","172800","lhcb_mc","48.0283","1","613"
"62911541","1080000","lhcb_data","73732.7","1","610"
"64947000","172800","lhcb_mc","48.0283","1","608"
"62911301","1080000","lhcb_data","73732.7","1","603"
"64947555","172800","lhcb_mc","48.0283","1","602"
"62911300","1080000","lhcb_data","73732.7","1","592"
"62911262","1080000","lhcb_data","73732.7","1","591"
"64937803","691200","lhcb_mc","7.368","1","586"
"62911329","1080000","lhcb_data","73732.7","1","581"
"64947158","172800","lhcb_mc","48.0283","1","568"
"62911290","1080000","lhcb_data","73732.7","1","557"
"64947556","172800","lhcb_mc","48.0283","1","557"
"64947287","172800","lhcb_mc","48.0283","1","556"
"64947005","172800","lhcb_mc","48.0283","1","552"
"64947554","172800","lhcb_mc","48.0283","1","548"
"62911298","1080000","lhcb_data","73732.7","1","543"
"64950391","1080000","lhcb_data","16129.0","1","542"
"64939522","691200","lhcb_mc","7.368","1","539"
"64947290","172800","lhcb_mc","48.0283","1","539"
"62911273","1080000","lhcb_data","73732.7","1","530"
"64947003","172800","lhcb_mc","48.0283","1","530"
"64947288","172800","lhcb_mc","48.0283","1","526"
"64947289","172800","lhcb_mc","48.0283","1","519"
"64946999","172800","lhcb_mc","48.0283","1","517"
"64947286","172800","lhcb_mc","48.0283","1","512"
"64947001","172800","lhcb_mc","48.0283","1","507"
"64947157","172800","lhcb_mc","48.0283","1","507"
"64938687","691200","lhcb_mc","7.368","1","501"
"64947002","172800","lhcb_mc","48.0283","1","493"
"64939137","691200","lhcb_mc","7.368","1","491"
"64949736","172800","lhcb_mcproc","27272.7","1","490"
"64937806","691200","lhcb_mc","7.368","1","488"
"62911250","1080000","lhcb_data","73732.7","1","487"
"64947156","172800","lhcb_mc","48.0283","1","486"
"64937805","691200","lhcb_mc","7.368","1","484"
"62911251","1080000","lhcb_data","73732.7","1","481"
"64939641","691200","lhcb_mc","7.368","1","481"
"64947155","172800","lhcb_mc","48.0283","1","481"
"62911427","1080000","lhcb_data","73732.7","1","472"
"64950287","1080000","lhcb_data","16129.0","1","472"
"62911326","1080000","lhcb_data","73732.7","1","467"
"64938384","691200","lhcb_mc","7.368","1","464"
"64947004","172800","lhcb_mc","48.0283","1","463"
"64937606","691200","lhcb_mc","7.368","1","461"
"64939135","691200","lhcb_mc","7.368","1","459"
"64939640","691200","lhcb_mc","7.368","1","456"
"64947160","172800","lhcb_mc","48.0283","1","456"
"62911280","1080000","lhcb_data","73732.7","1","454"
"64939521","691200","lhcb_mc","7.368","1","449"
"64938385","691200","lhcb_mc","7.368","1","448"
"64939642","691200","lhcb_mc","7.368","1","448"
"64950320","1080000","lhcb_data","16129.0","1","448"
"63433883","1080000","lhcb_data","73732.7","1","446"
"63433884","1080000","lhcb_data","73732.7","1","444"
"64939134","691200","lhcb_mc","7.368","1","440"
"64938685","691200","lhcb_mc","7.368","1","431"
"64939646","691200","lhcb_mc","7.368","1","427"
"62911360","1080000","lhcb_data","73732.7","1","422"
"64939643","691200","lhcb_mc","7.368","1","420"
"64939645","691200","lhcb_mc","7.368","1","414"
"64939133","691200","lhcb_mc","7.368","1","413"
"64938686","691200","lhcb_mc","7.368","1","410"
"64938688","691200","lhcb_mc","7.368","1","400"
"64938689","691200","lhcb_mc","7.368","1","399"
"64937802","691200","lhcb_mc","7.368","1","391"
"64939136","691200","lhcb_mc","7.368","1","391"
"64939644","691200","lhcb_mc","7.368","1","389"
"62911489","1080000","lhcb_data","73732.7","1","388"
"64950584","1080000","lhcb_data","16129.0","1","385"
"64951815","1080000","lhcb_data","16129.0","1","385"
"62911474","1080000","lhcb_data","73732.7","1","373"
"64950976","1080000","lhcb_data","16129.0","1","371"
"64937804","691200","lhcb_mc","7.368","1","355"
"64142434","172800","lhcb_mc","2.456","1","332"
"62911198","1080000","lhcb_data","73732.7","1","331"
"62911327","1080000","lhcb_data","73732.7","1","320"
"62911271","1080000","lhcb_data","73732.7","1","311"
"64142435","172800","lhcb_mc","2.456","1","311"
"64142436","172800","lhcb_mc","2.456","1","303"
"62911265","1080000","lhcb_data","73732.7","1","298"
"64142431","172800","lhcb_mc","2.456","1","293"
"64950641","1080000","lhcb_data","16129.0","1","291"
"64950811","1080000","lhcb_data","16129.0","1","291"
"62911295","1080000","lhcb_data","73732.7","1","270"
"64142430","172800","lhcb_mc","2.456","1","266"
"62911289","1080000","lhcb_data","73732.7","1","263"
"64142433","172800","lhcb_mc","2.456","1","258"
"62911386","1080000","lhcb_data","73732.7","1","257"
"64142432","172800","lhcb_mc","2.456","1","254"
"62911428","1080000","lhcb_data","73732.7","1","250"
"62915138","1080000","lhcb_data","73732.7","1","245"
"62911270","1080000","lhcb_data","73732.7","1","244"
"64950428","172800","lhcb_mcproc","27272.7","1","232"
"64950626","1080000","lhcb_data","16129.0","1","211"
"62911292","1080000","lhcb_data","73732.7","1","210"
"64950558","1080000","lhcb_data","16129.0","1","210"
"62911535","1080000","lhcb_data","73732.7","1","205"
"62911287","1080000","lhcb_data","73732.7","1","204"
"62911469","1080000","lhcb_data","73732.7","1","204"
"62911206","1080000","lhcb_data","73732.7","1","198"
"62911268","1080000","lhcb_data","73732.7","1","183"
"62915122","1080000","lhcb_data","73732.7","1","183"
"64950625","1080000","lhcb_data","16129.0","1","179"
"62911367","1080000","lhcb_data","73732.7","1","178"
"62911311","1080000","lhcb_data","73732.7","1","176"
"62911259","1080000","lhcb_data","73732.7","1","165"
"62911281","1080000","lhcb_data","73732.7","1","160"
"62938827","1080000","lhcb_data","73732.7","1","145"
"62911470","1080000","lhcb_data","73732.7","1","142"
"64951447","172800","lhcb_mcproc","27272.7","1","136"
"62911473","1080000","lhcb_data","73732.7","1","133"
"62915139","1080000","lhcb_data","73732.7","1","124"
"62911325","1080000","lhcb_data","73732.7","1","122"
"62915153","1080000","lhcb_data","73732.7","1","114"
"62911513","1080000","lhcb_data","73732.7","1","109"
"62915189","1080000","lhcb_data","73732.7","1","109"
"62911277","1080000","lhcb_data","73732.7","1","104"
"62915094","1080000","lhcb_data","73732.7","1","102"
"63133060","1080000","lhcb_data","73732.7","1","93"
"64950408","1080000","lhcb_data","16129.0","1","93"
"64951814","1080000","lhcb_data","16129.0","1","80"
"64950424","172800","lhcb_mcproc","27272.7","1","79"
"62941947","1080000","lhcb_data","73732.7","1","74"
"62911282","1080000","lhcb_data","73732.7","1","71"
"63569282","1080000","lhcb_data","73732.7","1","65"
"62915156","1080000","lhcb_data","73732.7","1","63"
"64949846","172800","lhcb_mcproc","4545.45","1","62"
"62911293","1080000","lhcb_data","73732.7","1","57"
"62911518","1080000","lhcb_data","73732.7","1","55"
"63133062","1080000","lhcb_data","73732.7","1","52"
"64950226","1080000","lhcb_data","460.829","1","50"
"63133225","1080000","lhcb_data","73732.7","1","49"
"62911511","1080000","lhcb_data","73732.7","1","48"
"62915135","1080000","lhcb_data","73732.7","1","48"
"62915177","1080000","lhcb_data","73732.7","1","48"
"63043124","1080000","lhcb_data","73732.7","1","48"
"63569541","1080000","lhcb_data","73732.7","1","46"
"62938812","1080000","lhcb_data","73732.7","1","45"
"64402676","1080000","lhcb_data","73732.7","1","43"
"64950092","1080000","lhcb_data","1843.32","1","43"
"62911509","1080000","lhcb_data","73732.7","1","41"
"62915103","1080000","lhcb_data","73732.7","1","41"
"63133234","1080000","lhcb_data","73732.7","1","41"
"62911479","1080000","lhcb_data","73732.7","1","40"
"62911539","1080000","lhcb_data","73732.7","1","40"
"62911482","1080000","lhcb_data","73732.7","1","39"
"64950345","1080000","lhcb_data","16129.0","1","38"
"62911211","1080000","lhcb_data","73732.7","1","37"
"62911279","1080000","lhcb_data","73732.7","1","37"
"64402678","1080000","lhcb_data","73732.7","1","29"
"63569163","1080000","lhcb_data","73732.7","1","25"
"64951825","1080000","lhcb_data","16129.0","1","24"
"64402692","1080000","lhcb_data","73732.7","1","23"
"64402710","1080000","lhcb_data","73732.7","1","22"
"64402655","1080000","lhcb_data","73732.7","1","20"
"64402699","1080000","lhcb_data","73732.7","1","20"
"63133229","1080000","lhcb_data","73732.7","1","19"
"63570473","1080000","lhcb_data","73732.7","1","18"
"64951160","1080000","lhcb_data","1382.49","1","18"
"64402884","1080000","lhcb_data","73732.7","1","17"
"64402681","1080000","lhcb_data","73732.7","1","16"
"63569165","1080000","lhcb_data","73732.7","1","14"
"64403183","1080000","lhcb_data","73732.7","1","14"
"64950892","1080000","lhcb_data","1843.32","1","14"
"64402868","1080000","lhcb_data","73732.7","1","12"
"64951834","1080000","lhcb_data","1843.32","1","12"
